user_id,nombre_empresa,segmento,pais,plan,monto_mensual_usd,fecha_registro,fecha_ultimo_pago,estado_cuenta,metodo_pago,user_id,fecha_retiro,tipo_retiro,motivo_principal,motivo_secundario,lo_reemplaza_con,nps_salida,comentario_libre,user_id,fecha_primer_login,configuracion_empresa_completa,empleados_cargados,plan_cuentas_configurado,primer_factura_emitida,dias_primer_factura,integracion_banco_conectada,facturas_emitidas_mes1,facturas_emitidas_mes3,reportes_generados_mes3,usuarios_adicionales,modulo_nomina_activo,modulo_inventario_activo,modulo_cxc_activo,login_ultimos_30_dias,sesiones_promedio_semana
U0466,Agropecuaria Jiménez,Pyme,Panamá,Growth,35,2022-07-13,2024-02-17,activo,transferencia,,,,,,,,,U0466,44755,si,si,si,si,1,no,18,37,1,1,no,no,si,si,4
U0467,Supermercado Medina,Pyme,Costa Rica,Growth,35,2022-11-20,2024-01-07,activo,tarjeta,,,,,,,,,U0467,44885,si,si,si,si,3,no,18,40,,1,no,si,si,si,4
U0468,Pérez Vargas & Partners,Contador,México,Growth,35,2022-10-10,2023-07-23,cancelado,transferencia,,,,,,,,,U0468,44844,no,si,no,si,9,no,9,12,4,1,no,no,no,no,0
U0469,Taller Reyes Plus,Pyme,México,Growth,35,2022-09-17,2023-10-23,cancelado,tarjeta,,,,,,,,,U0469,44821,no,si,no,no,,no,2,1,0,2,no,no,si,no,0
U0470,Pérez Flores & Partners,Contador,Colombia,Growth,35,2023-12-18,2023-02-21,cancelado,tarjeta,,,,,,,,,U0470,45278,si,no,si,si,3,no,10,25,3,2,no,no,si,no,0
U0471,Vargas Hernández Auditoría,Contador,Costa Rica,Starter,19,2023-02-03,2023-01-03,cancelado,PSE,,,,,,,,,U0471,44960,no,no,no,si,5,no,4,6,0,2,no,no,si,no,0
U0472,Pérez Reyes & Partners,Contador,México,Starter,19,2022-08-16,2024-02-08,activo,tarjeta,,,,,,,,,U0472,44789,si,si,si,si,9,no,23,31,6,2,no,no,no,si,2.1
U0473,Salinas García Consultores,Contador,Colombia,Enterprise,89,2022-02-28,2023-03-31,cancelado,transferencia,,,,,,,,,U0473,44620,si,si,si,si,10,no,8,14,3,4,no,no,no,no,0
U0474,García Sánchez & Partners,Contador,Ecuador,Pro,49,2022-07-19,2024-02-08,activo,tarjeta,,,,,,,,,U0474,44761,si,no,si,si,2,si,35,65,4,2,no,no,si,si,2.2
U0475,Importadora Reyes,Pyme,Colombia,Starter,19,2022-01-01,2023-02-14,cancelado,OXXO,,,,,,,,,U0475,44562,no,si,si,no,,no,0,0,2,1,no,no,no,si,0
U0476,Taller Vargas del Norte,Pyme,México,Growth,35,2023-12-22,2024-01-06,activo,tarjeta,,,,,,,,,U0476,45282,si,si,no,si,3,no,16,33,9,1,no,no,si,si,6.4
U0477,Farmacia González,Pyme,República Dominicana,Starter,19,2022-07-19,2024-01-26,activo,transferencia,,,,,,,,,U0477,44761,si,si,si,si,1,no,21,51,,2,no,no,no,si,3.1
U0478,Comidas Rápidas Medina,Pyme,Colombia,Starter,19,2022-04-30,2023-11-05,inactivo,PSE,U0478,2023-12-10,involuntario,tarjeta_vencida,,ninguno,,"cuenta bancaria cerrada, sin respuesta a emails",U0478,44681,si,no,no,si,17,no,6,10,4,1,no,si,no,no,1.3
U0479,Boutique Medina Express,Pyme,México,Growth,35,2022-09-07,2024-02-19,activo,tarjeta,,,,,,,,,U0479,44811,si,si,si,si,7,no,40,75,15,1,no,no,si,si,6.8
U0480,Clínica Díaz S.A.,Pyme,Colombia,Growth,35,2022-08-14,2024-01-15,activo,PSE,,,,,,,,,U0480,44787,no,si,si,no,,no,2,1,12,1,no,si,si,si,2.5
U0481,Torres González Auditoría,Contador,Colombia,Growth,35,2023-02-13,2024-02-22,activo,tarjeta,,,,,,,,,U0481,44970,si,si,si,si,10,no,10,21,5,1,no,no,si,si,4.8
U0482,Panadería Ortiz & Hijos,Pyme,Colombia,Growth,35,2022-07-07,2023-12-16,cancelado,OXXO,,,,,,,,,U0482,44749,no,no,no,si,5,no,12,16,4,1,no,no,no,no,0
U0483,Estudio Rodríguez & Asociados,Contador,Panamá,Growth,35,2022-07-27,2023-12-01,inactivo,tarjeta,,,,,,,,,U0483,44769,no,no,si,no,,no,1,5,0,2,no,no,no,no,1
U0484,Morales Ortiz & Partners,Contador,Costa Rica,Pro,49,2023-07-09,2023-09-04,cancelado,tarjeta,,,,,,,,,U0484,45116,si,si,si,si,19,no,7,14,3,1,no,no,si,no,0
U0485,Asesoría López & Partners,Contador,México,Enterprise,89,2023-06-08,2024-01-15,activo,transferencia,,,,,,,,,U0485,45085,no,si,si,si,7,si,9,17,3,1,no,no,si,si,5
U0486,Asesoría Morales & Asociados,Contador,México,Pro,49,2023-05-30,2024-02-25,activo,transferencia,,,,,,,,,U0486,45076,si,si,si,si,7,si,9,22,6,2,no,no,si,si,3.5
U0487,Morales Díaz & Partners,Contador,México,Pro,49,2022-01-13,2024-01-25,activo,transferencia,,,,,,,,,U0487,44574,si,si,si,si,7,no,22,44,6,5,no,no,no,si,6.1
U0488,Asesoría Ortiz Auditoría,Contador,Colombia,Growth,35,2022-10-03,2024-02-09,activo,tarjeta,,,,,,,,,U0488,44837,si,si,si,si,10,no,40,51,5,1,no,no,si,si,5
U0489,Agropecuaria Sánchez & Cía,Pyme,Costa Rica,Starter,19,2023-02-15,2024-01-12,activo,transferencia,,,,,,,,,U0489,44972,no,no,si,si,3,no,10,17,6,1,no,si,no,si,4.1
U0490,Tienda Ortiz & Hijos,Pyme,Colombia,Growth,35,2023-01-26,2024-02-21,activo,OXXO,,,,,,,,,U0490,44952,si,si,si,si,1,no,22,46,1,1,no,si,si,si,3.5
U0491,Boutique Torres,Pyme,Colombia,Pro,49,2023-10-08,2024-02-16,activo,tarjeta,,,,,,,,,U0491,45207,si,si,si,si,7,si,18,38,3,3,si,no,si,si,2.3
U0492,Vargas Rodríguez Auditoría,Contador,Colombia,Starter,19,2022-06-17,2024-02-22,activo,tarjeta,,,,,,,,,U0492,44729,si,si,si,si,8,no,20,26,5,1,no,no,si,si,6.1
U0493,Pérez Rodríguez Fiscalistas,Contador,Colombia,Growth,35,2023-07-25,2023-05-12,cancelado,tarjeta,,,,,,,,,U0493,45132,si,si,si,si,14,no,5,12,0,1,no,no,si,no,0
U0494,López Torres Fiscalistas,Contador,Ecuador,Growth,35,2023-08-13,2024-02-04,activo,tarjeta,,,,,,,,,U0494,45151,si,si,si,si,5,no,25,38,6,2,no,no,no,si,2
U0495,Tienda González del Norte,Pyme,México,Pro,49,2023-04-03,2023-08-13,suspendido,tarjeta,U0495,2024-01-16,voluntario,cambio_de_negocio,,Alegra_competidor_B,,muy caro para lo que ofrece comparado con la competencia,U0495,45019,no,si,si,si,16,no,11,,2,5,no,si,no,no,1.3
U0496,Transporte Torres S.R.L.,Pyme,México,Growth,35,2022-03-15,2024-01-22,activo,tarjeta,,,,,,,,,U0496,44635,si,si,si,si,1,no,38,94,5,2,no,no,si,si,2.5
U0497,Pérez González Consultores,Contador,Colombia,Pro,49,2023-01-07,2024-02-03,activo,OXXO,,,,,,,,,U0497,44933,si,si,no,si,7,si,7,16,6,4,no,no,si,si,1.7
U0498,Ramos González Auditoría,Contador,Colombia,Growth,35,2022-09-15,2023-12-25,cancelado,transferencia,U0498,2023-09-11,voluntario,funcionalidades_insuficientes,onboarding_incompleto,ninguno,4,necesitaba facturación electrónica avanzada y no funcionaba bien,U0498,44819,si,no,si,si,10,no,3,,1,1,no,no,no,si,0
U0499,Importadora Martínez,Pyme,Colombia,Pro,49,2023-07-16,2024-02-19,activo,tarjeta,,,,,,,,,U0499,45123,no,si,si,no,,no,0,3,7,2,no,no,no,si,6.4
U0500,Salinas Hernández Consultores,Contador,Colombia,Enterprise,89,2023-02-04,2024-01-16,activo,transferencia,,,,,,,,,U0500,44961,no,si,si,si,9,si,20,28,0,3,no,no,si,si,3.5
U0501,Comidas Rápidas Vargas S.R.L.,Pyme,Colombia,Starter,19,2023-01-01,2023-09-30,suspendido,tarjeta,,,,,,,,,U0501,44927,si,no,no,si,3,no,4,8,4,1,no,si,no,no,1
U0502,Supermercado Medina,Pyme,Ecuador,Growth,35,2022-07-01,2024-01-30,activo,transferencia,,,,,,,,,U0502,44743,si,no,si,si,4,no,37,74,2,2,no,no,no,si,5
U0503,Hernández Díaz Auditoría,Contador,México,Enterprise,89,2023-05-09,2024-02-21,activo,tarjeta,,,,,,,,,U0503,45055,si,si,no,si,10,no,14,24,2,1,no,no,no,si,3.6
U0504,Taller Ortiz Express,Pyme,Colombia,Starter,19,2022-05-20,2024-01-31,activo,tarjeta,,,,,,,,,U0504,44701,si,no,si,si,3,no,5,10,5,2,no,si,si,si,5.2
U0505,Panadería Cruz Express,Pyme,República Dominicana,Pro,49,2023-09-04,2024-01-01,activo,tarjeta,,,,,,,,,U0505,45173,si,si,si,si,10,si,17,32,2,1,si,si,si,si,5.6
U0506,Clínica Sánchez Plus,Pyme,Colombia,Growth,35,2023-02-04,2023-10-27,inactivo,tarjeta,,,,,,,,,U0506,44961,si,no,si,si,8,no,7,10,1,2,no,no,no,si,0.5
U0507,Pérez Pérez & Asociados,Contador,República Dominicana,Pro,49,2022-10-19,2024-02-04,activo,PSE,,,,,,,,,U0507,44853,si,si,si,si,9,si,18,28,15,6,no,no,si,si,4.9
U0508,Panadería Flores,Pyme,Colombia,Growth,35,2023-09-25,2024-02-14,activo,transferencia,,,,,,,,,U0508,45194,si,si,si,si,6,no,21,30,7,1,no,no,si,si,2.2
U0509,Taller García,Pyme,México,Starter,19,2022-04-15,2024-01-09,activo,transferencia,,,,,,,,,U0509,44666,si,no,si,si,6,no,4,8,11,2,no,si,si,si,6.6
U0510,Boutique López,Pyme,México,Starter,19,2022-11-16,2024-01-06,inactivo,OXXO,U0510,2023-04-25,voluntario,precio_alto,,Alegra_competidor_B,3,,U0510,44881,si,si,no,si,14,no,12,,3,1,no,no,no,si,0.7
U0511,Medina Ramírez Auditoría,Contador,Ecuador,Starter,19,2023-02-06,2024-01-31,activo,tarjeta,,,,,,,,,U0511,44963,no,si,si,no,,no,0,0,10,2,no,no,no,si,3
U0512,Contabilidad Pérez Auditoría,Contador,Colombia,Pro,49,2022-09-12,2024-01-29,activo,tarjeta,,,,,,,,,U0512,44816,si,si,si,si,7,si,30,53,8,4,si,no,si,si,6.2
U0513,Medina Flores Consultores,Contador,Colombia,Pro,49,2022-08-02,2024-02-13,activo,OXXO,,,,,,,,,U0513,44775,si,si,si,si,7,si,8,18,14,1,no,no,si,si,5.9
U0514,Ramos Díaz & Asociados,Contador,Colombia,Enterprise,89,2023-06-18,2024-01-31,activo,transferencia,,,,,,,,,U0514,45095,si,si,si,si,8,no,28,51,11,6,no,no,si,si,1.9
U0515,Hernández Medina & Asociados,Contador,Colombia,Growth,35,2023-10-11,2024-01-01,activo,tarjeta,,,,,,,,,U0515,45210,si,si,no,si,2,no,27,50,9,1,no,no,no,si,5.3
U0516,Tienda Díaz & Hijos,Pyme,Colombia,Enterprise,89,2023-08-19,2023-12-31,inactivo,transferencia,,,,,,,,,U0516,45157,si,no,si,si,14,no,8,10,2,1,no,si,no,si,1.2
U0517,Taller Vargas & Hijos,Pyme,Colombia,Growth,35,2023-10-03,2024-01-23,activo,transferencia,,,,,,,,,U0517,45202,si,si,no,si,5,no,14,31,,1,no,si,si,si,2.2
U0518,Taller Pérez,Pyme,Colombia,Growth,35,2023-10-23,2024-02-21,activo,PSE,,,,,,,,,U0518,45222,si,si,si,si,4,no,37,60,15,1,no,si,si,si,3.2
U0519,Constructora Ortiz,Pyme,Costa Rica,Starter,19,2022-02-10,2024-01-29,activo,transferencia,,,,,,,,,U0519,44602,si,no,si,si,4,no,36,73,7,2,no,si,si,si,5.2
U0520,Distribuidora Jiménez,Pyme,Colombia,Growth,35,2022-10-09,2024-01-07,suspendido,transferencia,U0520,2023-06-12,voluntario,soporte_deficiente,interfaz_compleja,Siigo,3,,U0520,44843,no,no,no,no,,no,0,0,1,2,no,si,no,si,1
U0521,Tienda García del Norte,Pyme,Colombia,Starter,19,2022-01-01,2024-02-02,activo,tarjeta,,,,,,,,,U0521,44562,no,si,si,no,,no,0,5,15,2,no,si,no,si,2.7
U0522,Ávila Ortiz & Partners,Contador,Colombia,Pro,49,2023-11-06,2023-07-18,cancelado,tarjeta,U0522,2023-03-17,voluntario,funcionalidades_insuficientes,,Aspel,3,,U0522,45236,no,no,si,no,,no,1,,1,3,no,no,si,no,0
U0523,Ferretería Hernández,Pyme,Colombia,Growth,35,2022-11-26,2024-02-03,activo,transferencia,,,,,,,,,U0523,44891,si,no,no,si,3,no,15,22,14,1,no,no,si,si,6.5
U0524,Boutique Jiménez S.R.L.,Pyme,Colombia,Starter,19,2022-02-02,2024-02-23,activo,tarjeta,,,,,,,,,U0524,44594,si,no,no,si,8,no,22,34,11,2,no,no,si,si,2.2
U0525,Boutique Martínez,Pyme,México,Growth,35,2022-03-14,2024-02-28,activo,tarjeta,,,,,,,,,U0525,44634,si,si,si,si,1,no,35,70,15,2,no,si,si,si,6.2
U0526,Hernández Jiménez & Asociados,Contador,México,Pro,49,2023-03-02,2023-09-15,inactivo,PSE,,,,,,,,,U0526,44987,si,no,si,si,10,si,8,11,2,4,si,no,si,si,1.3
U0527,Ramos Vargas Auditoría,Contador,República Dominicana,Starter,19,2022-08-10,2023-02-19,cancelado,tarjeta,,,,,,,,,U0527,44783,si,si,no,si,15,no,9,17,,1,no,no,no,si,0
U0528,Clínica Rodríguez S.R.L.,Pyme,México,Starter,19,2023-10-03,2023-10-13,cancelado,transferencia,,,,,,,,,U0528,45202,no,no,no,si,3,no,4,6,3,1,no,no,no,si,0
U0529,Constructora Flores S.R.L.,Pyme,México,Growth,35,2022-04-17,2024-01-12,activo,tarjeta,,,,,,,,,U0529,44668,no,si,si,no,,no,1,3,11,1,no,no,no,si,2.9
U0530,Pérez Cruz Contadores,Contador,México,Growth,35,2022-11-19,2024-01-21,activo,PSE,,,,,,,,,U0530,44884,si,si,si,si,7,no,26,40,5,1,no,no,si,si,3.9
U0531,Transporte Morales,Pyme,Colombia,Growth,35,2023-01-20,2024-02-29,activo,transferencia,,,,,,,,,U0531,44946,no,si,si,no,,no,0,2,,1,no,no,si,si,6
U0532,Farmacia García,Pyme,Costa Rica,Enterprise,89,2023-09-03,2024-01-09,activo,OXXO,,,,,,,,,U0532,45172,si,si,si,si,7,no,35,68,12,1,no,no,si,si,4.3
U0533,Agropecuaria Medina,Pyme,Panamá,Starter,19,2023-12-08,2024-01-20,inactivo,tarjeta,,,,,,,,,U0533,45268,si,no,si,si,13,no,9,12,2,2,no,si,no,si,0.7
U0534,Distribuidora Medina,Pyme,México,Starter,19,2023-01-11,2023-08-05,suspendido,PSE,,,,,,,,,U0534,44937,no,no,si,no,,no,1,3,3,1,no,si,no,no,0.3
U0535,García Medina & Asociados,Contador,Costa Rica,Pro,49,2023-05-10,2024-02-22,activo,PSE,,,,,,,,,U0535,45056,si,si,si,si,1,si,7,11,5,6,no,no,si,si,4.7
U0536,Importadora Flores,Pyme,Colombia,Growth,35,2023-08-14,2024-02-19,activo,tarjeta,,,,,,,,,U0536,45152,si,si,si,si,1,no,23,36,15,2,no,no,no,si,2.9
U0537,Contabilidad Reyes & Asociados,Contador,México,Enterprise,89,2022-08-21,2024-02-24,activo,transferencia,,,,,,,,,U0537,44794,si,no,no,si,7,si,22,40,14,2,no,no,si,si,2.9
U0538,Ferretería Reyes Plus,Pyme,Colombia,Growth,35,2022-06-03,2024-02-14,activo,tarjeta,,,,,,,,,U0538,44715,si,si,no,si,8,no,22,51,,2,no,si,no,si,1.6
U0539,Distribuidora Ortiz S.A.,Pyme,México,Starter,19,2022-10-24,2023-10-08,inactivo,tarjeta,,,,,,,,,U0539,44858,si,si,no,si,8,no,11,20,1,1,no,no,si,no,1.3
U0540,Boutique Vargas,Pyme,Colombia,Starter,19,2023-03-21,2024-01-09,activo,transferencia,,,,,,,,,U0540,45006,si,si,si,si,8,no,22,29,2,2,no,no,si,si,1.5
U0541,Clínica Flores S.R.L.,Pyme,México,Growth,35,2023-06-21,2024-01-05,activo,tarjeta,,,,,,,,,U0541,45098,si,si,si,si,7,no,23,44,2,2,no,si,si,si,4.2
U0542,Ferretería Torres,Pyme,Costa Rica,Growth,35,2022-12-23,2024-01-23,activo,transferencia,,,,,,,,,U0542,44918,si,si,si,si,10,no,6,14,9,1,no,si,si,si,4.5
U0543,Panadería Pérez & Hijos,Pyme,República Dominicana,Pro,49,2023-10-01,2024-01-03,activo,OXXO,,,,,,,,,U0543,45200,si,si,si,si,2,si,25,55,5,2,si,no,no,si,4.4
U0544,Vargas Torres & Asociados,Contador,Panamá,Growth,35,2022-02-25,2024-02-09,activo,OXXO,,,,,,,,,U0544,44617,si,no,si,si,1,no,6,15,2,2,no,no,no,si,2.2
U0545,Panadería Pérez Plus,Pyme,República Dominicana,Starter,19,2023-04-28,2024-01-14,activo,transferencia,,,,,,,,,U0545,45044,si,si,si,si,3,no,9,19,11,1,no,si,si,si,6.1
U0546,Agropecuaria Jiménez,Pyme,México,Growth,35,2022-05-25,2024-02-12,activo,tarjeta,,,,,,,,,U0546,44706,si,no,no,si,6,no,12,22,6,1,no,no,si,si,2.6
U0547,Ferretería Martínez,Pyme,Colombia,Pro,49,2023-09-25,2024-01-30,activo,transferencia,,,,,,,,,U0547,45194,no,si,si,si,1,si,23,34,,3,no,no,si,si,5.2
U0548,Clínica Sánchez S.R.L.,Pyme,Panamá,Growth,35,2022-04-21,2024-02-25,activo,PSE,,,,,,,,,U0548,44672,no,no,si,no,,no,1,4,9,2,no,no,si,si,6.1
U0549,Salinas Vargas Contadores,Contador,Colombia,Growth,35,2023-09-04,2024-01-12,activo,tarjeta,,,,,,,,,U0549,45173,si,si,si,si,5,no,10,22,5,1,no,no,no,si,6.7
U0550,Transporte Díaz,Pyme,Colombia,Growth,35,2022-12-08,2024-02-17,activo,tarjeta,,,,,,,,,U0550,44903,si,si,si,si,1,no,29,46,2,1,no,no,si,si,6.5
U0551,Repuestos García del Norte,Pyme,Ecuador,Enterprise,89,2022-10-10,2023-11-05,inactivo,PSE,,,,,,,,,U0551,44844,si,si,no,si,20,no,3,7,4,2,si,no,si,no,0.3
U0552,Supermercado Rojas & Cía,Pyme,Colombia,Starter,19,2022-05-21,2024-01-25,activo,tarjeta,,,,,,,,,U0552,44702,si,si,no,si,2,no,34,57,12,2,no,si,si,si,3.6
U0553,Supermercado Hernández & Cía,Pyme,Colombia,Starter,19,2022-11-16,2023-10-17,suspendido,tarjeta,,,,,,,,,U0553,44881,no,no,si,no,,no,2,0,,1,no,no,si,no,1.4
U0554,López Hernández Contadores,Contador,Panamá,Growth,35,2023-12-24,2023-09-19,suspendido,OXXO,,,,,,,,,U0554,45284,si,no,si,si,18,no,10,13,1,1,no,no,no,no,0.7
U0555,Morales Hernández Contadores,Contador,Panamá,Growth,35,2023-07-25,2024-02-16,activo,tarjeta,,,,,,,,,U0555,45132,si,si,si,si,3,no,19,43,14,1,no,no,si,si,2
U0556,Repuestos Ramírez,Pyme,Colombia,Enterprise,89,2023-02-26,2024-02-17,activo,OXXO,,,,,,,,,U0556,44983,si,si,si,si,6,si,35,82,0,2,si,si,si,si,5.9
U0557,Panadería Rojas,Pyme,Colombia,Starter,19,2023-09-19,2024-02-08,activo,transferencia,,,,,,,,,U0557,45188,no,si,no,no,,no,0,2,0,2,no,si,si,si,2.9
U0558,García Díaz Consultores,Contador,México,Pro,49,2023-05-04,2024-02-24,activo,transferencia,,,,,,,,,U0558,45050,si,si,si,si,6,no,40,49,2,6,no,no,no,si,3.7
U0559,Contabilidad Ramírez Auditoría,Contador,México,Growth,35,2022-07-17,2024-01-27,activo,transferencia,,,,,,,,,U0559,44759,si,no,no,si,7,no,24,48,11,1,no,no,no,si,4.6
U0560,Boutique Rojas,Pyme,Costa Rica,Starter,19,2022-07-29,2024-02-29,activo,OXXO,,,,,,,,,U0560,44771,si,si,si,si,7,no,25,44,,2,no,si,no,si,5.1
U0561,Clínica Flores,Pyme,México,Starter,19,2023-02-19,2024-02-08,activo,transferencia,,,,,,,,,U0561,44976,si,no,si,si,2,no,9,20,6,1,no,si,si,si,4.7
U0562,Salinas López Consultores,Contador,México,Pro,49,2023-10-19,2023-10-12,suspendido,tarjeta,U0562,2023-11-10,voluntario,soporte_deficiente,funcionalidades_insuficientes,ninguno,3,muy caro para lo que ofrece comparado con la competencia,U0562,45218,si,no,si,si,19,no,6,,1,6,si,no,si,no,1.2
U0563,Ferretería Pérez,Pyme,México,Growth,35,2023-07-26,2024-02-18,activo,transferencia,,,,,,,,,U0563,45133,si,si,si,si,10,no,21,34,3,1,no,si,no,si,3.9
U0564,Ferretería Jiménez Express,Pyme,Colombia,Pro,49,2023-04-18,2024-01-19,activo,transferencia,,,,,,,,,U0564,45034,si,si,si,si,7,si,6,14,10,2,si,no,no,si,4.6
U0565,García Vargas Consultores,Contador,México,Pro,49,2022-04-26,2024-02-07,activo,OXXO,,,,,,,,,U0565,44677,si,si,si,si,9,si,29,66,10,6,no,no,si,si,3.5
U0566,Repuestos Morales,Pyme,Colombia,Starter,19,2023-04-10,2024-02-15,activo,PSE,,,,,,,,,U0566,45026,si,si,si,si,3,no,36,86,0,1,no,no,no,si,3.6
U0567,Taller Morales S.A.,Pyme,Costa Rica,Growth,35,2022-06-17,2024-01-08,activo,tarjeta,,,,,,,,,U0567,44729,no,si,si,no,,no,2,2,13,2,no,si,si,si,4.9
U0568,Clínica López del Norte,Pyme,México,Pro,49,2023-06-08,2024-01-11,activo,tarjeta,,,,,,,,,U0568,45085,si,si,si,si,8,si,20,39,15,1,no,si,no,si,4.1
U0569,Farmacia Torres Express,Pyme,Costa Rica,Starter,19,2022-05-29,2024-02-15,activo,tarjeta,,,,,,,,,U0569,44710,si,si,si,si,10,no,13,31,15,2,no,si,no,si,5.3
U0570,Boutique Ortiz S.R.L.,Pyme,Colombia,Pro,49,2022-07-27,2024-02-18,activo,tarjeta,,,,,,,,,U0570,44769,si,si,si,si,3,si,23,50,3,5,no,no,no,si,4.9
U0571,Salinas Martínez & Partners,Contador,México,Pro,49,2022-08-11,2024-01-31,activo,tarjeta,,,,,,,,,U0571,44784,si,si,si,si,7,si,10,20,14,4,no,no,si,si,6.5
U0572,Contabilidad González Consultores,Contador,Colombia,Pro,49,2023-09-27,2024-02-22,activo,PSE,,,,,,,,,U0572,45196,no,si,si,no,,no,0,3,6,1,si,no,no,si,4.1
U0573,Transporte Martínez,Pyme,Colombia,Starter,19,2022-02-03,2024-02-23,activo,transferencia,,,,,,,,,U0573,44595,si,no,si,si,3,no,36,56,6,1,no,no,si,si,1.8
U0574,Importadora Vargas,Pyme,Colombia,Growth,35,2023-09-18,2024-02-14,activo,transferencia,,,,,,,,,U0574,45187,si,si,si,si,1,no,8,18,1,1,no,no,no,si,1.5
U0575,Clínica Martínez Plus,Pyme,México,Pro,49,2022-04-06,2024-01-21,activo,tarjeta,,,,,,,,,U0575,44657,si,si,si,si,4,si,36,62,,3,no,no,si,si,3.4
U0576,Constructora Pérez S.R.L.,Pyme,Colombia,Starter,19,2023-12-13,2023-11-24,inactivo,tarjeta,U0576,2023-06-05,involuntario,transferencia_rechazada,,ninguno,,cambió de banco y no actualizó los datos de pago,U0576,45273,no,si,no,no,,no,1,,3,1,no,no,no,no,0.4
U0577,Agropecuaria Torres,Pyme,México,Enterprise,89,2023-06-26,2023-09-05,cancelado,transferencia,,,,,,,,,U0577,45103,si,si,no,si,19,no,12,25,4,3,no,si,si,no,0
U0578,Salinas Jiménez Contadores,Contador,Colombia,Pro,49,2023-10-01,2024-01-09,activo,transferencia,,,,,,,,,U0578,45200,si,no,no,si,6,si,16,31,0,4,no,no,no,si,2.3
U0579,Contabilidad Rodríguez & Asociados,Contador,México,Growth,35,2023-09-17,2024-01-19,activo,OXXO,,,,,,,,,U0579,45186,si,si,si,si,4,no,26,45,8,2,no,no,no,si,4.6
U0580,Transporte Díaz & Cía,Pyme,República Dominicana,Growth,35,2022-08-01,2023-12-16,inactivo,tarjeta,U0580,2023-11-29,voluntario,no_vio_valor,soporte_lento,ninguno,1,,U0580,44774,si,no,no,si,11,no,4,,4,1,no,si,no,no,0.6
U0581,Constructora Flores S.A.,Pyme,Costa Rica,Growth,35,2022-09-18,2023-11-18,inactivo,tarjeta,U0581,2023-10-23,voluntario,no_vio_valor,,no_sabe,5,migré a Siigo porque mi contador lo usa,U0581,44822,no,no,no,si,10,no,12,,2,1,no,no,no,no,0.8
U0582,Vargas Flores Contadores,Contador,Colombia,Pro,49,2023-09-23,2023-03-31,cancelado,tarjeta,,,,,,,,,U0582,45192,si,no,si,si,11,si,10,16,3,4,si,no,no,no,0
U0583,Comidas Rápidas Vargas Express,Pyme,México,Starter,19,2022-05-20,2024-02-10,activo,tarjeta,,,,,,,,,U0583,44701,si,si,si,si,4,no,22,33,13,2,no,no,si,si,5.9
U0584,Torres Vargas & Asociados,Contador,México,Pro,49,2023-06-18,2024-02-16,activo,transferencia,,,,,,,,,U0584,45095,si,no,no,si,10,no,6,11,7,1,no,no,si,si,4.1
U0585,Ferretería Flores & Cía,Pyme,Costa Rica,Pro,49,2022-12-29,2024-01-10,activo,tarjeta,,,,,,,,,U0585,44924,no,no,no,si,6,si,32,57,7,5,si,no,no,si,6.4
U0586,Farmacia Flores del Norte,Pyme,Colombia,Growth,35,2022-07-11,2024-02-25,activo,transferencia,,,,,,,,,U0586,44753,si,si,no,si,6,no,26,47,10,1,no,no,no,si,6.8
U0587,Farmacia González,Pyme,México,Starter,19,2023-04-08,2023-11-17,inactivo,tarjeta,,,,,,,,,U0587,45024,si,no,no,si,11,no,8,14,4,1,no,no,no,no,0.6
U0588,Torres Hernández Consultores,Contador,República Dominicana,Enterprise,89,2023-03-31,2024-02-21,activo,tarjeta,,,,,,,,,U0588,45016,si,si,si,si,10,si,25,46,9,3,si,no,no,si,3.7
U0589,Distribuidora Jiménez & Hijos,Pyme,México,Pro,49,2022-11-14,2024-01-10,activo,transferencia,,,,,,,,,U0589,44879,no,si,si,no,,no,2,0,6,2,no,si,si,si,5
U0590,Supermercado Rojas del Norte,Pyme,Colombia,Starter,19,2023-06-19,2024-01-20,activo,OXXO,,,,,,,,,U0590,45096,si,si,si,si,5,no,28,63,14,1,no,no,si,si,5.2
U0591,Farmacia Pérez,Pyme,Colombia,Growth,35,2023-11-06,2024-01-02,activo,transferencia,,,,,,,,,U0591,45236,si,si,si,si,4,no,21,29,11,2,no,si,si,si,2.7
U0592,Farmacia Rodríguez,Pyme,Colombia,Starter,19,2023-03-28,2024-01-18,activo,tarjeta,,,,,,,,,U0592,45013,si,si,si,si,1,no,10,18,6,2,no,no,no,si,3.4
U0593,García Torres & Partners,Contador,México,Growth,35,2022-12-25,2024-01-18,activo,tarjeta,,,,,,,,,U0593,44920,si,si,no,si,2,no,31,67,12,2,no,no,si,si,4.2
U0594,Boutique López,Pyme,Colombia,Growth,35,2022-12-13,2024-01-04,activo,tarjeta,,,,,,,,,U0594,44908,si,si,si,si,6,no,23,48,12,1,no,no,si,si,4.7
U0595,Agropecuaria Díaz,Pyme,México,Starter,19,2023-09-03,2023-11-24,suspendido,transferencia,U0595,2023-10-26,involuntario,disputa_bancaria,,ninguno,,"tarjeta rechazada, no respondió a los intentos de contacto",U0595,45172,si,no,si,si,19,no,9,19,2,2,no,no,no,si,1.2
U0596,Salinas Medina Consultores,Contador,Costa Rica,Pro,49,2023-07-01,2024-02-29,activo,transferencia,,,,,,,,,U0596,45108,si,si,no,si,1,si,11,21,6,1,si,no,no,si,3.4
